route_id,original_route_id,mode,route_short_name,route_long_name,route_type
bus_897,897,bus,523,MULLIPAKKAM To THIRUPORUR,3
bus_898,898,bus,523,PERUNTHANDALAM To P U OFFICE SHOLINGANALLUR,3
bus_900,900,bus,523,MULLIPAKKAM To THIRUVANMIYUR,3
bus_902,902,bus,523A,KARUMBAKKAM To THIRUPORUR,3
bus_904,904,bus,523A,THIRUVADAISOOLAM DEVI KARUMARIAMMAN TEMPLE To THIRUVANMIYUR B.T,3
bus_905,905,bus,523A,KARUMBAKKAM To THIRUVANMIYUR B.T,3
bus_909,909,bus,54R,KUMANANCHAVADI To THIRUVANMIYUR,3
bus_912,912,bus,72,M.G.R.KOYAMBEDU B.T To THYAGARAYA NAGAR BUS TERMINUS,3
bus_913,913,bus,72,TAMBARAM WEST To THYAGARAYA NAGAR,3
bus_916,916,bus,78,VELACHERY B.T To THIRUVANMIYUR,3
bus_918,918,bus,91,THIRUVANMIYUR To KCBT - KILAMBAKKAM,3
bus_924,924,bus,A1CT,PALAVAKKAM To M.G.R.CENTRAL,3
bus_925,925,bus,S5CT,SECRETARIAT To GOVT ESTATE METRO R.S,3
bus_926,926,bus,A1CT,THIRUVALLUVAR NAGAR To M.G.R.CENTRAL,3
bus_929,929,bus,A47,THIRUVANMIYUR B.T To AVADI B.T,3
bus_936,936,bus,S15,MADHYA KAILASH To THIRUVANMIYUR RAILWAY STATION,3
bus_938,938,bus,S36,AG DMS METRO STATION To NUNGAMBAKKAM RAILWAY STATION,3
bus_939,939,bus,S36,NUNGAMBAKKAM R.S To THYAGARAYA NAGAR,3
bus_942,942,bus,S95,PERUNGUDI To VELACHERY,3
bus_943,943,bus,S95,VELACHERY B.T To THIRUVANMIYUR,3
bus_944,944,bus,S98,TARAMANI B.T To LITTLE MOUNT METRO,3
bus_946,946,bus,S98CT,I.R.T. RD.JN To THIRUVANMIYUR,3
bus_953,953,bus,G18,THYAGARAYA NAGAR BUS TERMINUS To GUDUVANCHERI B.T,3
bus_954,954,bus,G18,TAMBARAM WEST To THYAGARAYA NAGAR,3
bus_955,955,bus,47D,THIRUVANMIYUR To AMBATTUR I.E,3
bus_956,956,bus,47D,THIRUVANMIYUR B.T To AVADI B.T,3
bus_957,957,bus,51AX,THYAGARAYA NAGAR BUS TERMINUS To KILAMBAKKAM BUS TERMINUS,3
bus_958,958,bus,51ACT,MEDAVAKKAM To THYAGARAYA NAGAR BUS TERMINUS,3
bus_959,959,bus,51A,THYAGARAYA NAGAR BUS TERMINUS To TAMBARAM EAST,3
bus_960,960,bus,154CT,ASHARKANA To POONAMALLEE B.T,3
bus_961,961,bus,154,THYAGARAYA NAGAR BUS TERMINUS To POONAMALLEE B.T,3
bus_962,962,bus,49,THIRUVANMIYUR B.T To IYYAPPANTHANGAL B.T,3
bus_963,963,bus,549,THIRUVANMIYUR B.T To SRIPERUMBUDUR BUS STAND,3
bus_964,964,bus,49A,THYAGARAYA NAGAR To IYYAPPANTHANGAL,3
bus_965,965,bus,72,THYAGARAYA NAGAR BURKIT ROAD To THIRUVERKADU B.T,3
bus_966,966,bus,1,THIRUVOTRIYUR B.T To THIRUVANMIYUR,3
bus_967,967,bus,1,M.G.R.CENTRAL To THIRUVANMIYUR,3
bus_968,968,bus,6D,THANGAL TOLLGATE To THIRUVANMIYUR B.T,3
bus_969,969,bus,6D,THANGAL TOLLGATE To FORESHORE ESTATE,3
bus_983,983,bus,M70,M.G.R.KOYAMBEDU B.T To THIRUVANMIYUR B.T,3
bus_986,986,bus,1,THIRUVANMIYUR To M.G.R.CENTRAL,3
bus_987,987,bus,1,THIRUVANMIYUR To THIRUVOTRIYUR B.T,3
bus_990,990,bus,154CT,POONAMALLEE B.T To ASHARKANA,3
bus_991,991,bus,154,POONAMALLEE B.T To THYAGARAYA NAGAR BUS TERMINUS,3
bus_997,997,bus,47D,AMBATTUR I.E To THIRUVANMIYUR,3
bus_998,998,bus,47D,AVADI B.T To THIRUVANMIYUR B.T,3
bus_999,999,bus,49,IYYAPPANTHANGAL B.T To THIRUVANMIYUR B.T,3
bus_1000,1000,bus,49A,IYYAPPANTHANGAL To THYAGARAYA NAGAR,3
bus_1002,1002,bus,51ACT,THYAGARAYA NAGAR BUS TERMINUS To MEDAVAKKAM KOOT ROAD,3
bus_1003,1003,bus,51A,TAMBARAM RAILWAY STATION EAST To THYAGARAYA NAGAR BURKIT ROAD,3
bus_1005,1005,bus,51AX,KILAMBAKKAM BUS TERMINUS To THYAGARAYA NAGAR BURKIT ROAD,3
bus_1006,1006,bus,549,SRIPERUMBUDUR BUS TERMINUS To THIRUVANMIYUR B.T,3
bus_1008,1008,bus,6D,FORESHORE ESTATE BUS TERMINUS To THANGAL TOLLGATE,3
bus_1009,1009,bus,6D,THIRUVANMIYUR B.T To THANGAL TOLLGATE,3
bus_1010,1010,bus,72,THIRUVERKADU B.T To THYAGARAYA NAGAR BUS TERMINUS,3
bus_1012,1012,bus,G18,GUDUVANCHERI B.T To THYAGARAYA NAGAR BUS TERMINUS,3
bus_1013,1013,bus,G18,THYAGARAYA NAGAR To TAMBARAM WEST,3
bus_1015,1015,bus,M70,THIRUVANMIYUR B.T To M.G.R.KOYAMBEDU B.T,3
bus_1017,1017,bus,G18CT,THYAGARAYA NAGAR To KCBT - KILAMBAKKAM,3
bus_1019,1019,bus,47D,AVADI B.T To KCBT - KILAMBAKKAM,3
bus_1020,1020,bus,54R,LITTLE MOUNT To KUMANANCHAVADI,3
bus_1021,1021,bus,47D,KILAMBAKKAM BUS TERMINUS To AVADI B.T,3
bus_1022,1022,bus,47D,THIRUVANMIYUR To KCBT - KILAMBAKKAM,3
bus_1023,1023,bus,54R,KUMANANCHAVADI To LITTLE MOUNT,3
